49 7776 31843
39 12 93.24 93.24
45 12 95.55 95.55
0 13 236.23 236.23
1 13 195.57 195.57
2 13 264 264
3 13 213.92 213.92
4 13 310.45 310.45
5 13 177.09 177.09
7 13 161.5 161.5
10 13 138.08 138.08
13 13 129.32 129.32
16 13 113.04 113.04
22 13 120.63 120.63
30 13 103.87 103.87
34 13 93.94 93.94
39 13 91.96 91.96
43 13 89.67 89.67
45 13 95.24 95.24
0 14 304.61 304.61
1 14 270.32 270.32
3 14 286.92 286.92
0 15 201.08 201.08
1 15 191.26 191.26
4 15 213.25 213.25
5 15 181.18 181.18
6 15 222.6 222.6
8 15 232.9 232.9
11 15 165.63 165.63
12 15 271.6 271.6
0 16 274.02 274.02
1 16 247.8 247.8
3 16 260.59 260.59
5 16 231.37 231.37
0 17 296.99 296.99
1 17 264.03 264.03
2 17 316.24 316.24
4 17 339.54 339.54
0 18 148.8 148.8
1 18 145.47 145.47
2 18 149.17 149.17
3 18 148.12 148.12
4 18 151.98 151.98
8 18 160.05 160.05
9 18 164.69 164.69
10 18 125.47 125.47
11 18 129.51 129.51
12 18 175.82 175.82
13 18 121.38 121.38
14 18 171.13 171.13
15 18 182.08 182.08
16 18 112.24 112.24
17 18 195.34 195.34
20 18 188.29 188.29
22 18 116.81 116.81
30 18 104.88 104.88
33 18 203.57 203.57
34 18 96.51 96.51
35 18 198.64 198.64
38 18 212.37 212.37
0 19 93.34 93.34
1 19 96.7 96.7
2 19 90.83 90.83
4 19 90.35 90.35
5 19 93.45 93.45
6 19 90.7 90.7
7 19 90.76 90.76
8 19 91.06 91.06
9 19 91.29 91.29
10 19 84.83 84.83
11 19 87.92 87.92
12 19 93.24 93.24
13 19 83.01 83.01
14 19 92.38 92.38
15 19 93.93 93.93
16 19 77.11 77.11
17 19 94.18 94.18
20 19 93.93 93.93
22 19 80.17 80.17
30 19 71.44 71.44
33 19 95.26 95.26
34 19 64.72 64.72
35 19 94.84 94.84
38 19 95.64 95.64
43 19 62.59 62.59
45 19 72.37 72.37
47 19 97.57 97.57
0 20 262.5 262.5
1 20 231.08 231.08
2 20 282.62 282.62
3 20 245.96 245.96
5 20 213.08 213.08
7 20 198.58 198.58
8 20 386.79 386.79
0 21 200.28 200.28
1 21 190.31 190.31
2 21 205.04 205.04
3 21 195.74 195.74
4 21 212.73 212.73
5 21 180.77 180.77
6 21 221.89 221.89
8 21 232.38 232.38
9 21 243.55 243.55
12 21 270.84 270.84
14 21 257.04 257.04
15 21 285.67 285.67
17 21 320.97 320.97
20 21 302.09 302.09
33 21 365.97 365.97
35 21 342.13 342.13
38 21 395.78 395.78
0 22 237.68 237.68
1 22 220.12 220.12
3 22 228.95 228.95
4 22 259.94 259.94
0 23 314.24 314.24
1 23 277.46 277.46
2 23 336 336
4 23 365.32 365.32
0 24 349.33 349.33
1 24 302.08 302.08
2 24 378.5 378.5
3 24 324.35 324.35
5 24 277.57 277.57
7 24 257.31 257.31
11 24 239.73 239.73
0 25 293.38 293.38
1 25 262.33 262.33
2 25 311.34 311.34
3 25 277.53 277.53
4 25 335.42 335.42
0 26 340 340
1 26 295.29 295.29
2 26 367.09 367.09
3 26 316.72 316.72
5 26 271.79 271.79
7 26 252.02 252.02
10 26 219.73 219.73
11 26 235.13 235.13
13 26 206.87 206.87
0 27 289.68 289.68
1 27 259.64 259.64
2 27 306.99 306.99
3 27 274.42 274.42
4 27 330.08 330.08
5 27 241.72 241.72
7 27 226.48 226.48
11 27 213.2 213.2
13 27 190.7 190.7
0 28 293.59 293.59
1 28 262.26 262.26
2 28 311.96 311.96
3 28 277.49 277.49
4 28 336.08 336.08
5 28 243.35 243.35
7 28 227.32 227.32
10 28 201.02 201.02
11 28 213.68 213.68
13 28 190.49 190.49
16 28 170.24 170.24
22 28 179.9 179.9
30 28 158.89 158.89
34 28 147.04 147.04
39 28 142.2 142.2
43 28 141.3 141.3
0 29 195.47 195.47
1 29 186.49 186.49
3 29 191.69 191.69
8 29 225.84 225.84
9 29 236.59 236.59
12 29 262.79 262.79
16 29 135.66 135.66
22 29 141.9 141.9
0 30 304.84 304.84
1 30 271.02 271.02
2 30 324.56 324.56
4 30 351.87 351.87
6 30 384.47 384.47
7 30 234.89 234.89
0 31 195.47 195.47
1 31 186.49 186.49
2 31 200.3 200.3
3 31 191.69 191.69
4 31 207.26 207.26
6 31 215.86 215.86
7 31 168.76 168.76
8 31 225.84 225.84
9 31 236.59 236.59
11 31 161.69 161.69
12 31 262.79 262.79
14 31 249.49 249.49
17 31 310.86 310.86
20 31 292.87 292.87
35 31 331.26 331.26
38 31 382.34 382.34
0 32 83.03 83.03
1 32 78.25 78.25
0 33 21.82 21.82
1 33 27.81 27.81
4 33 15.77 15.77
5 33 26.09 26.09
6 33 14.22 14.22
7 33 25.09 25.09
8 33 12.9 12.9
9 33 11.72 11.72
12 33 10.48 10.48
14 33 11.09 11.09
15 33 9.76999 9.76999
17 33 6.13 6.13
20 33 7.79001 7.79001
33 33 3.42999 3.42999
35 33 4.79001 4.79001
38 33 2.32999 2.32999
47 33 2.07001 2.07001
0 34 396.86 396.86
1 34 334.28 334.28
3 34 362.99 362.99
5 34 303.65 303.65
7 34 279.38 279.38
11 34 258.33 258.33
0 35 358.98 358.98
1 35 308.77 308.77
2 35 390.29 390.29
3 35 332.36 332.36
5 35 283.14 283.14
7 35 261.92 261.92
11 35 243.5 243.5
0 36 358.42 358.42
1 36 308.56 308.56
2 36 389.61 389.61
5 36 283.09 283.09
0 37 358.42 358.42
1 37 308.56 308.56
2 37 389.61 389.61
3 37 332.48 332.48
5 37 283.09 283.09
7 37 262.06 262.06
0 38 396.86 396.86
1 38 334.28 334.28
3 38 362.99 362.99
7 38 279.38 279.38
0 39 357.75 357.75
1 39 307.12 307.12
2 39 388.4 388.4
3 39 330.84 330.84
5 39 282.23 282.23
0 40 293.59 293.59
1 40 262.26 262.26
2 40 311.96 311.96
3 40 277.49 277.49
4 40 336.08 336.08
0 41 293.38 293.38
1 41 262.33 262.33
2 41 311.34 311.34
3 41 277.53 277.53
0 42 334.93 334.93
1 42 291.74 291.74
3 42 312.5 312.5
5 42 269.01 269.01
7 42 249.79 249.79
10 42 218.12 218.12
11 42 233.13 233.13
0 43 225.25 225.25
1 43 210.28 210.28
2 43 232.78 232.78
3 43 217.91 217.91
4 43 243.84 243.84
5 43 198.57 198.57
6 43 257.11 257.11
8 43 272.48 272.48
9 43 289.29 289.29
12 43 331.24 331.24
14 43 309.56 309.56
15 43 355.38 355.38
20 43 383.53 383.53
0 44 304.11 304.11
1 44 270.46 270.46
2 44 323.66 323.66
3 44 286.51 286.51
5 44 251.26 251.26
7 44 235.1 235.1
10 44 207.41 207.41
11 44 220.64 220.64
13 44 196.76 196.76
16 44 175.55 175.55
22 44 185.39 185.39
30 44 163.81 163.81
34 44 151.2 151.2
0 45 328.75 328.75
1 45 288.49 288.49
2 45 353.32 353.32
3 45 307.67 307.67
5 45 266.28 266.28
7 45 247.8 247.8
10 45 217.22 217.22
11 45 232.1 232.1
13 45 205.17 205.17
0 46 15.94 15.94
1 46 22.4 22.4
2 46 11.81 11.81
3 46 19.79 19.79
4 46 9.66 9.66
5 46 20.87 20.87
6 46 7.92999 7.92999
7 46 19.87 19.87
8 46 6.64002 6.64002
9 46 5.06 5.06
10 46 17.97 17.97
11 46 19.14 19.14
12 46 3.54001 3.54001
13 46 17.4 17.4
14 46 4.51999 4.51999
15 46 2.44 2.44
17 46 -1.25 -1.25
20 46 0.450012 0.450012
30 46 9.42999 9.42999
33 46 -3.89999 -3.89999
34 46 3.94 3.94
35 46 -2.64002 -2.64002
38 46 -5.32999 -5.32999
43 46 2.85998 2.85998
45 46 14.02 14.02
47 46 -6.09 -6.09
0 47 245.81 245.81
1 47 296.96 296.96
0 48 334.14 334.14
1 48 291.42 291.42
3 48 311.7 311.7
5 48 268.45 268.45
7 48 249.48 249.48
10 48 217.82 217.82
11 48 232.86 232.86
13 48 205.52 205.52
0 49 279.84 279.84
1 49 251.87 251.87
3 49 265.53 265.53
5 49 235.15 235.15
0 50 241.92 241.92
1 50 223.32 223.32
2 50 251.93 251.93
3 50 232.85 232.85
4 50 265.71 265.71
6 50 282.38 282.38
8 50 301.58 301.58
9 50 323.54 323.54
12 50 378.57 378.57
14 50 349.78 349.78
0 51 299.08 299.08
1 51 266.44 266.44
2 51 317.85 317.85
3 51 282.47 282.47
4 51 343.44 343.44
5 51 247.53 247.53
7 51 231.41 231.41
10 51 204.5 204.5
13 51 193.73 193.73
16 51 172.9 172.9
22 51 182.76 182.76
30 51 161.35 161.35
34 51 149.44 149.44
0 52 298.66 298.66
1 52 266.31 266.31
2 52 317.43 317.43
3 52 282.17 282.17
6 52 373.46 373.46
0 53 298.26 298.26
1 53 264.97 264.97
2 53 317.06 317.06
3 53 281.77 281.77
4 53 343.7 343.7
5 53 246.53 246.53
6 53 373.46 373.46
0 54 305.06 305.06
1 54 271.13 271.13
2 54 325.33 325.33
3 54 287.46 287.46
4 54 352.27 352.27
6 54 385.49 385.49
0 55 322.03 322.03
1 55 282.97 282.97
2 55 345.77 345.77
3 55 301.8 301.8
4 55 377.15 377.15
5 55 261.34 261.34
0 56 322.03 322.03
1 56 282.97 282.97
2 56 345.77 345.77
3 56 301.8 301.8
4 56 377.15 377.15
0 57 6.17999 6.17999
1 57 12.05 12.05
2 57 2.48999 2.48999
3 57 10 10
5 57 11.09 11.09
7 57 10.66 10.66
10 57 9.26001 9.26001
11 57 9.95999 9.95999
13 57 8.95001 8.95001
16 57 5.66 5.66
22 57 7.39999 7.39999
30 57 1.76001 1.76001
34 57 -3.16 -3.16
39 57 0.420013 0.420013
43 57 -3.70001 -3.70001
45 57 6.79001 6.79001
0 58 -67.14 -67.14
1 58 -47.83 -47.83
2 58 -79.29 -79.29
3 58 -57.19 -57.19
5 58 -44.78 -44.78
6 58 -105.1 -105.1
7 58 -40.25 -40.25
9 58 -138.68 -138.68
11 58 -36.79 -36.79
14 58 -157.4 -157.4
0 59 205.43 205.43
1 59 194.98 194.98
2 59 210.44 210.44
3 59 200.54 200.54
4 59 218.72 218.72
6 59 228.21 228.21
8 59 238.86 238.86
12 59 278.82 278.82
14 59 265.04 265.04
15 59 294.36 294.36
17 59 331.56 331.56
20 59 311.37 311.37
33 59 378.12 378.12
35 59 353.54 353.54
0 60 340.2 340.2
1 60 295.57 295.57
3 60 316.85 316.85
5 60 271.9 271.9
7 60 252.2 252.2
10 60 219.86 219.86
11 60 235.42 235.42
13 60 207.35 207.35
0 61 310.36 310.36
1 61 274.37 274.37
2 61 330.95 330.95
3 61 291.62 291.62
4 61 359.27 359.27
5 61 254.27 254.27
7 61 237.29 237.29
10 61 208.81 208.81
11 61 222.51 222.51
13 61 197.59 197.59
0 62 354.45 354.45
1 62 305.09 305.09
3 62 328.9 328.9
10 62 225.29 225.29
0 63 285.02 285.02
1 63 256.17 256.17
2 63 301.67 301.67
3 63 270.32 270.32
0 64 155.76 155.76
1 64 151.06 151.06
2 64 157.39 157.39
12 64 197.11 197.11
0 65 132.3 132.3
1 65 129.8 129.8
2 65 132.98 132.98
3 65 130.99 130.99
4 65 135.69 135.69
6 65 139.39 139.39
7 65 118.77 118.77
8 65 143.78 143.78
9 65 148.54 148.54
10 65 109.29 109.29
11 65 113.85 113.85
13 65 106.12 106.12
14 65 155.18 155.18
16 65 97.48 97.48
22 65 101.42 101.42
34 65 82.89 82.89
39 65 83.38 83.38
0 66 337.26 337.26
1 66 294.28 294.28
2 66 363.64 363.64
3 66 314.53 314.53
5 66 271.01 271.01
7 66 252.08 252.08
22 66 195.33 195.33
0 67 290.48 290.48
1 67 260.39 260.39
2 67 307.91 307.91
3 67 274.87 274.87
4 67 331.29 331.29
7 67 227.15 227.15
10 67 201.08 201.08
11 67 213.66 213.66
0 68 120.12 120.12
1 68 121.63 121.63
3 68 120.62 120.62
4 68 120.29 120.29
5 68 116.54 116.54
6 68 121.71 121.71
7 68 113.7 113.7
8 68 123.46 123.46
9 68 125.22 125.22
10 68 105.83 105.83
11 68 109.38 109.38
12 68 130.23 130.23
13 68 103.53 103.53
14 68 127.78 127.78
15 68 132.28 132.28
17 68 136.27 136.27
20 68 134.19 134.19
35 68 139.43 139.43
38 68 146.53 146.53
47 68 150.46 150.46
0 69 -14.46 -14.46
1 69 -5.39999 -5.39999
2 69 -19.13 -19.13
3 69 -9.57999 -9.57999
4 69 -22.45 -22.45
6 69 -25.47 -25.47
7 69 -4.67999 -4.67999
8 69 -29.22 -29.22
9 69 -33.2 -33.2
10 69 -5.26999 -5.26999
11 69 -4.48999 -4.48999
12 69 -38.36 -38.36
13 69 -4.92001 -4.92001
14 69 -35.51 -35.51
15 69 -40.81 -40.81
16 69 -7.45001 -7.45001
17 69 -48.95 -48.95
20 69 -44.82 -44.82
22 69 -6.07001 -6.07001
30 69 -11.01 -11.01
33 69 -57.46 -57.46
34 69 -15.42 -15.42
35 69 -52.74 -52.74
38 69 -62.03 -62.03
39 69 -9.5 -9.5
43 69 -15.04 -15.04
45 69 -2.38001 -2.38001
0 70 101.44 101.44
1 70 104.15 104.15
2 70 99.18 99.18
3 70 103.39 103.39
4 70 99.19 99.19
6 70 99.83 99.83
8 70 100.62 100.62
9 70 101.08 101.08
12 70 103.66 103.66
14 70 102.43 102.43
15 70 104.9 104.9
17 70 105.91 105.91
20 70 105.25 105.25
33 70 107.51 107.51
35 70 106.8 106.8
38 70 108.85 108.85
47 70 110.63 110.63
0 71 -15.45 -15.45
1 71 -6.64999 -6.64999
3 71 -11.13 -11.13
4 71 -23.81 -23.81
5 71 -6.81 -6.81
7 71 -5.70001 -5.70001
9 71 -35.1 -35.1
22 71 -7.04001 -7.04001
47 71 -69.34 -69.34
0 72 190.27 190.27
1 72 182.09 182.09
2 72 193.63 193.63
3 72 186.62 186.62
4 72 200.07 200.07
5 72 173.71 173.71
6 72 207.47 207.47
7 72 165.87 165.87
8 72 215.92 215.92
9 72 225.08 225.08
10 72 152.32 152.32
11 72 159.2 159.2
12 72 247.28 247.28
13 72 146.98 146.98
14 72 236.15 236.15
15 72 258.64 258.64
16 72 134.39 134.39
17 72 285.4 285.4
20 72 271.13 271.13
22 72 140.22 140.22
30 72 126.03 126.03
33 72 317.9 317.9
34 72 116.63 116.63
35 72 300.62 300.62
38 72 339.18 339.18
43 72 112.6 112.6
0 73 -12.75 -12.75
1 73 -4.85001 -4.85001
2 73 -17.5 -17.5
3 73 -8.31 -8.31
4 73 -20.62 -20.62
5 73 -5.19 -5.19
6 73 -23.17 -23.17
7 73 -5.42001 -5.42001
8 73 -25.69 -25.69
9 73 -28.56 -28.56
10 73 -6.17001 -6.17001
11 73 -5.48999 -5.48999
12 73 -32.31 -32.31
13 73 -5.95999 -5.95999
14 73 -30.22 -30.22
15 73 -34.29 -34.29
16 73 -8.39002 -8.39002
17 73 -39.99 -39.99
20 73 -37.3 -37.3
22 73 -7.13 -7.13
33 73 -45.23 -45.23
35 73 -42.38 -42.38
38 73 -47.82 -47.82
47 73 -50.29 -50.29
0 74 -7.42999 -7.42999
1 74 -0.0899963 -0.0899963
2 74 -12.17 -12.17
3 74 -3 -3
4 74 -15.03 -15.03
5 74 -1.22 -1.22
6 74 -17.26 -17.26
7 74 -2 -2
8 74 -19.35 -19.35
9 74 -21.58 -21.58
11 74 -2.61999 -2.61999
12 74 -24.67 -24.67
14 74 -22.85 -22.85
15 74 -26.46 -26.46
17 74 -32.19 -32.19
20 74 -29.46 -29.46
33 74 -36.68 -36.68
35 74 -34.42 -34.42
38 74 -39.14 -39.14
47 74 -40.99 -40.99
0 75 -375.43 -375.43
1 75 -228.21 -228.21
5 75 -190.96 -190.96
7 75 -161.99 -161.99
10 75 -123.61 -123.61
11 75 -141.42 -141.42
13 75 -109.67 -109.67
16 75 -88.59 -88.59
34 75 -82.32 -82.32
0 76 284.48 284.48
1 76 255.79 255.79
2 76 300.84 300.84
3 76 269.7 269.7
5 76 238.23 238.23
10 76 198.28 198.28
11 76 210.5 210.5
13 76 188.4 188.4
16 76 168.72 168.72
22 76 177.93 177.93
30 76 157.46 157.46
0 77 128.2 128.2
1 77 120.87 120.87
2 77 132.07 132.07
3 77 125.37 125.37
0 78 318.06 318.06
1 78 280.29 280.29
2 78 341.04 341.04
3 78 297.71 297.71
5 78 258.57 258.57
7 78 241.32 241.32
0 79 202.75 202.75
1 79 180.94 180.94
2 79 217.32 217.32
3 79 190.43 190.43
4 79 237.23 237.23
5 79 165.9 165.9
6 79 261.09 261.09
7 79 156.25 156.25
8 79 292.88 292.88
9 79 332.13 332.13
10 79 137.19 137.19
11 79 147.18 147.18
13 79 130.27 130.27
16 79 115.48 115.48
30 79 107.45 107.45
34 79 97.63 97.63
43 79 93.98 93.98
45 79 100.69 100.69
0 80 -47.89 -47.89
1 80 -27.27 -27.27
2 80 -62.91 -62.91
4 80 -78.57 -78.57
6 80 -99.21 -99.21
22 80 -10.35 -10.35
0 81 -47.89 -47.89
1 81 -27.27 -27.27
3 81 -35.6 -35.6
4 81 -78.57 -78.57
5 81 -23.34 -23.34
7 81 -20.44 -20.44
10 81 -13.9 -13.9
11 81 -17.06 -17.06
13 81 -11.57 -11.57
22 81 -10.35 -10.35
0 82 284.27 284.27
1 82 255.54 255.54
2 82 300.66 300.66
3 82 269.42 269.42
5 82 238.09 238.09
7 82 223.51 223.51
0 83 -151.08 -151.08
1 83 -120.12 -120.12
3 83 -133.92 -133.92
8 83 -240.97 -240.97
9 83 -272.34 -272.34
14 83 -309.17 -309.17
18 83 254.29 254.29
19 83 290.94 290.94
21 83 365.05 365.05
25 83 139.98 139.98
27 83 180.97 180.97
0 84 -164.72 -164.72
1 84 -129.48 -129.48
2 84 -186.9 -186.9
3 84 -145.09 -145.09
4 84 -210.89 -210.89
6 84 -238.22 -238.22
8 84 -270.28 -270.28
9 84 -310.25 -310.25
18 84 214.55 214.55
19 84 253.38 253.38
21 84 331.72 331.72
23 84 293.07 293.07
24 84 175.84 175.84
25 84 92.72 92.72
26 84 369.39 369.39
27 84 136.11 136.11
32 84 -42.83 -42.83
37 84 3.76001 3.76001
40 84 -199.61 -199.61
44 84 -93.8 -93.8
0 85 280.71 280.71
1 85 252.78 252.78
5 85 235.76 235.76
7 85 221.31 221.31
10 85 196.62 196.62
11 85 208.64 208.64
13 85 186.79 186.79
0 86 289.26 289.26
1 86 259.21 259.21
2 86 306.28 306.28
3 86 274.03 274.03
5 86 241.31 241.31
7 86 226.15 226.15
10 86 200.34 200.34
11 86 212.75 212.75
13 86 190.09 190.09
16 86 169.97 169.97
30 86 158.68 158.68
34 86 146.9 146.9
0 87 315.45 315.45
1 87 279 279
2 87 337.02 337.02
4 87 366.19 366.19
0 88 346.55 346.55
1 88 300.16 300.16
2 88 375 375
7 88 255.83 255.83
10 88 222.72 222.72
13 88 209.86 209.86
22 88 197.01 197.01
0 89 398.32 398.32
1 89 335.26 335.26
3 89 364.37 364.37
5 89 304.72 304.72
7 89 280.08 280.08
11 89 258.99 258.99
0 90 239.43 239.43
1 90 221.6 221.6
2 90 248.76 248.76
3 90 230.64 230.64
4 90 262.12 262.12
6 90 277.9 277.9
0 91 328.75 328.75
1 91 288.49 288.49
2 91 353.32 353.32
3 91 307.67 307.67
4 91 386.24 386.24
5 91 266.28 266.28
7 91 247.8 247.8
10 91 217.22 217.22
11 91 232.1 232.1
13 91 205.17 205.17
0 92 318.06 318.06
1 92 280.29 280.29
2 92 341.04 341.04
3 92 297.71 297.71
5 92 258.57 258.57
7 92 241.32 241.32
0 93 324.19 324.19
1 93 284.43 284.43
10 93 214.45 214.45
0 94 212.53 212.53
1 94 189.8 189.8
3 94 199 199
5 94 174.43 174.43
0 95 329.5 329.5
1 95 288.57 288.57
3 95 308.37 308.37
5 95 266.22 266.22
13 95 204.68 204.68
0 96 -362.82 -362.82
1 96 -219.11 -219.11
3 96 -276.75 -276.75
5 96 -183.16 -183.16
10 96 -118.07 -118.07
11 96 -134.27 -134.27
36 96 288.57 288.57
42 96 360.21 360.21
0 97 198.88 198.88
1 97 188.41 188.41
2 97 203.45 203.45
3 97 193.89 193.89
4 97 211.09 211.09
5 97 178.48 178.48
6 97 220.9 220.9
7 97 169.65 169.65
8 97 231.32 231.32
9 97 243.66 243.66
12 97 270.48 270.48
14 97 256.4 256.4
15 97 286.12 286.12
20 97 305.76 305.76
0 98 -148.29 -148.29
1 98 -118.94 -118.94
2 98 -167.05 -167.05
3 98 -132.57 -132.57
4 98 -185.77 -185.77
5 98 -111.52 -111.52
6 98 -206.34 -206.34
8 98 -230.22 -230.22
9 98 -258.03 -258.03
12 98 -324.34 -324.34
14 98 -288.26 -288.26
15 98 -367.21 -367.21
18 98 274.42 274.42
19 98 307.75 307.75
21 98 377.07 377.07
23 98 342.85 342.85
24 98 241.3 241.3
25 98 169.8 169.8
27 98 207.75 207.75
0 99 200.28 200.28
1 99 190.31 190.31
2 99 205.04 205.04
3 99 195.74 195.74
4 99 212.73 212.73
5 99 180.77 180.77
6 99 221.89 221.89
8 99 232.38 232.38
9 99 243.55 243.55
12 99 270.84 270.84
14 99 257.04 257.04
15 99 285.67 285.67
17 99 320.97 320.97
0 100 -140.14 -140.14
1 100 -111.94 -111.94
2 100 -157.94 -157.94
4 100 -175.64 -175.64
6 100 -195.26 -195.26
8 100 -217.42 -217.42
9 100 -243.78 -243.78
12 100 -306.43 -306.43
14 100 -272.93 -272.93
15 100 -346.88 -346.88
18 100 290.85 290.85
19 100 324.63 324.63
23 100 359.77 359.77
24 100 256.77 256.77
0 101 191.49 191.49
1 101 183.35 183.35
2 101 195.48 195.48
7 101 166.28 166.28
8 101 219.44 219.44
10 101 152.52 152.52
12 101 251.86 251.86
14 101 239.89 239.89
15 101 265 265
20 101 277.16 277.16
22 101 140.14 140.14
0 102 111 111
1 102 112.57 112.57
2 102 109.63 109.63
3 102 111.98 111.98
4 102 110.71 110.71
5 102 108.3 108.3
6 102 112 112
7 102 105.17 105.17
8 102 113.67 113.67
9 102 114.97 114.97
10 102 97.87 97.87
11 102 101.66 101.66
12 102 119.15 119.15
13 102 95.19 95.19
14 102 117.27 117.27
15 102 121.01 121.01
17 102 124.34 124.34
20 102 122.6 122.6
22 102 91.14 91.14
33 102 129.01 129.01
35 102 126.94 126.94
38 102 132.19 132.19
47 102 135.36 135.36
0 103 168.98 168.98
1 103 164.27 164.27
2 103 170.42 170.42
3 103 167.14 167.14
4 103 174.44 174.44
5 103 157.25 157.25
6 103 179.58 179.58
7 103 151.14 151.14
8 103 185.25 185.25
9 103 191.25 191.25
10 103 139.77 139.77
11 103 145.48 145.48
12 103 205.69 205.69
13 103 135.25 135.25
14 103 198.62 198.62
15 103 213.1 213.1
16 103 124.42 124.42
17 103 228.89 228.89
20 103 220.54 220.54
22 103 129.61 129.61
30 103 116.61 116.61
33 103 248.41 248.41
34 103 108.15 108.15
35 103 238.28 238.28
38 103 261.3 261.3
39 103 107.65 107.65
43 103 104.68 104.68
45 103 111.96 111.96
0 104 -94.95 -94.95
1 104 -71.15 -71.15
2 104 -110.22 -110.22
3 104 -82.6 -82.6
4 104 -125.48 -125.48
